Date,Product,Quantity Sold,Total Sales
2023-09-20,Mobile,3,133992
2020-08-24,Mobile,9,273366
2021-07-11,Smartwatch,10,119010
2021-12-03,Headphones,5,46400
2022-09-27,Smartwatch,1,8024
2023-07-23,Printer,5,22220
2020-01-08,Camera,3,310521
2021-06-20,Tablet,8,344224
2023-02-22,Laptop,2,119724
2023-11-16,Tablet,9,156249
2022-01-26,Mouse,9,5427
2022-05-30,Tablet,1,35202
2022-01-16,Laptop,6,465210
2023-10-28,Headphones,2,13588
2023-02-20,Printer,10,80640
2021-04-29,Tablet,3,126060
2020-02-20,Tablet,6,251892
2023-10-03,Headphones,5,18040
2023-12-07,Mobile,7,105525
2022-08-21,Headphones,4,57512
2022-07-31,Camera,5,249155
2021-04-01,Laptop,4,408908
2021-11-03,Smartwatch,2,28292
2021-12-20,Keyboard,7,34244
2021-11-09,Laptop,2,168474
2020-12-31,Mouse,5,1890
2020-08-10,Mouse,7,7049
2021-10-04,Printer,10,197580
2020-08-24,Printer,10,92280
2021-06-05,Laptop,7,351547
2022-11-30,Keyboard,4,13932
2022-06-02,Mobile,6,306870
2023-09-20,Mobile,5,382345
2021-09-25,Printer,6,97110
2023-11-28,Smartwatch,9,82530
2021-01-27,Printer,7,60914
2023-06-14,Mouse,5,5655
2023-01-27,Laptop,5,438030
2021-03-06,Printer,10,228790
2023-09-02,Camera,8,623240
2022-06-24,Headphones,9,78768
2020-12-13,Mobile,5,387805
2023-09-21,Mouse,6,2946
2021-04-26,Smartwatch,4,46100
2020-10-28,Laptop,1,82092
2022-08-31,Mouse,2,2464
2022-04-28,Mouse,4,7084
2023-11-27,Printer,8,128760
2021-05-14,Tablet,1,21985
2022-05-20,Headphones,3,42522
2023-11-26,Keyboard,8,7288
2023-02-15,Headphones,2,16956
2020-09-30,Monitor,9,232146
2022-06-25,Mouse,9,10557
2023-01-27,Monitor,3,108324
2022-07-10,Smartwatch,4,103576
2021-07-21,Keyboard,8,19672
2021-07-16,Monitor,2,47450
2021-04-25,Smartwatch,6,92856
2023-01-11,Mobile,3,89307
2021-04-18,Printer,3,30030
2020-05-11,Printer,7,96894
2023-01-16,Monitor,7,63560
2021-02-27,Printer,7,154973
2023-11-25,Laptop,10,998570
2022-09-03,Laptop,6,534834
2022-03-09,Printer,9,188055
2023-05-20,Headphones,8,36760
2021-07-12,Printer,8,31608
2022-03-07,Camera,7,804433
2020-12-04,Monitor,3,20301
2022-03-17,Mouse,10,16570
2020-02-25,Mobile,7,194502
2022-08-03,Tablet,1,32049
2022-02-15,Camera,4,318392
2021-10-31,Camera,7,395297
2022-05-13,Smartwatch,2,40822
2020-02-09,Keyboard,1,3366
2021-04-04,Mobile,1,14067
2021-05-21,Headphones,1,11179
2020-11-08,Headphones,3,26274
2023-10-03,Mobile,10,385690
2022-08-10,Smartwatch,6,62988
2023-05-25,Mouse,2,3784
2020-12-01,Smartwatch,2,47924
2020-02-22,Smartwatch,10,271950
2022-02-07,Printer,4,21960
2023-04-27,Headphones,2,24844
2021-09-09,Mouse,2,3860
2023-03-05,Laptop,6,718962
2022-05-27,Camera,2,172634
2023-08-19,Camera,1,75057
2022-09-30,Mobile,7,402304
2023-07-25,Monitor,3,100620
2020-12-26,Keyboard,5,24540
2022-09-17,Monitor,7,158123
2021-10-22,Headphones,2,11138
2022-07-12,Headphones,8,82688
2023-06-03,Printer,6,23640
2022-10-09,Camera,3,251712
2021-03-10,Camera,5,323040
2021-07-26,Mouse,5,7190
2020-01-21,Keyboard,4,4804
2021-05-09,Printer,8,169536
2021-05-07,Monitor,8,274968
2020-02-05,Mobile,5,195225
2022-04-08,Headphones,5,59390
2023-04-06,Camera,8,740352
2022-12-23,Camera,7,824397
2023-02-01,Camera,6,672744
2022-07-18,Smartwatch,5,66185
2021-04-17,Mobile,4,205436
2020-09-01,Keyboard,3,6207
2021-03-19,Monitor,5,196910
2023-05-07,Smartwatch,2,22720
2021-08-29,Headphones,6,23634
2021-09-11,Laptop,9,599319
2021-07-15,Laptop,1,122529
2021-08-21,Tablet,8,173784
2020-01-26,Mouse,5,6305
2022-09-07,Monitor,6,102492
2020-04-15,Smartwatch,8,69904
2020-05-13,Printer,8,43416
2023-03-27,Laptop,3,208665
2023-02-26,Smartwatch,2,26264
2020-08-30,Keyboard,7,16436
2022-12-06,Printer,8,140056
2021-08-31,Mouse,7,6475
2023-03-10,Mouse,1,1548
2020-07-22,Headphones,4,21340
2023-09-14,Mobile,3,124317
2020-12-21,Keyboard,2,3564
2020-01-06,Printer,8,179664
2022-08-20,Smartwatch,1,12585
2021-08-13,Smartwatch,8,58656
2023-11-08,Headphones,5,69535
2023-07-04,Mouse,4,4680
2020-08-23,Keyboard,4,6880
2021-06-28,Tablet,2,37816
2020-12-05,Smartwatch,10,295410
2023-03-11,Smartwatch,8,72592
2022-08-17,Smartwatch,7,97440
2022-10-21,Keyboard,8,32688
2020-06-13,Mouse,1,1184
2021-10-22,Mouse,5,1760
2020-07-06,Headphones,10,106190
2020-02-12,Smartwatch,10,63180
2020-12-24,Monitor,9,305829
2021-07-23,Tablet,10,435660
2023-07-24,Monitor,2,71604
2021-12-13,Printer,6,81120
2023-10-04,Mobile,3,159684
2022-04-23,Monitor,5,156220
2023-01-31,Laptop,8,492336
2021-10-06,Smartwatch,6,52788
2022-04-07,Keyboard,1,4944
2022-08-04,Printer,1,9146
2022-11-27,Camera,10,1191480
2022-10-17,Monitor,1,18340
2021-06-30,Keyboard,3,8577
2022-06-16,Monitor,2,13782
2023-07-14,Mouse,4,7012
2020-11-20,Smartwatch,9,49032
2023-02-05,Printer,2,20724
2020-08-20,Monitor,2,30180
2022-10-17,Smartwatch,9,253026
2021-07-13,Printer,8,147784
2021-05-14,Monitor,9,130311
2022-02-24,Headphones,10,93270
2020-10-06,Mobile,5,321935
2021-11-27,Keyboard,5,2605
2021-08-02,Smartwatch,10,240020
2023-09-13,Monitor,3,102792
2023-01-08,Monitor,6,160716
2023-02-04,Keyboard,7,29610
2021-10-21,Headphones,4,41472
2022-02-23,Headphones,7,12005
2021-10-13,Monitor,7,212114
2023-09-21,Tablet,8,139408
2020-09-15,Keyboard,10,32190
2020-07-24,Monitor,2,78936
2022-07-24,Laptop,3,311208
2023-09-02,Tablet,2,91536
2021-06-26,Camera,10,1107940
2022-03-25,Mobile,6,479652
2022-02-17,Camera,8,727296
2020-03-14,Mouse,2,1560
2023-07-16,Smartwatch,4,117880
2020-07-04,Printer,2,47532
2023-12-12,Mobile,8,254440
2023-11-22,Smartwatch,1,6507
2021-10-26,Laptop,5,484920
2022-02-06,Printer,3,33003
2022-12-23,Printer,10,89000
2020-12-14,Tablet,2,80140
2023-06-23,Headphones,8,84432
2020-10-20,Headphones,8,91608
2021-06-04,Monitor,5,28075
2022-08-10,Smartwatch,9,91584
2020-05-31,Monitor,6,147630
2023-08-01,Printer,5,89845
2021-09-10,Headphones,7,104867
2022-09-16,Mobile,4,239944
2023-03-17,Camera,10,587800
2023-12-03,Smartwatch,1,26568
2022-03-21,Smartwatch,1,23544
2023-11-05,Laptop,10,1476710
2022-10-14,Smartwatch,4,99568
2021-12-22,Headphones,4,44688
2021-05-28,Tablet,2,35166
2021-09-24,Monitor,1,28911
2020-09-26,Mobile,5,264115
2022-04-30,Tablet,4,94644
2023-01-09,Camera,9,771939
2021-07-12,Tablet,5,232890
2021-08-27,Camera,2,162770
2020-06-03,Tablet,4,164176
2023-02-15,Camera,2,143434
2020-01-29,Smartwatch,9,81441
2022-07-20,Camera,5,483095
2022-02-19,Camera,2,216904
2021-04-23,Monitor,1,26496
2023-06-03,Headphones,2,22820
2022-08-08,Smartwatch,7,61761
2020-10-13,Laptop,1,89893
2022-10-05,Mobile,2,81550
2023-01-05,Tablet,7,313103
2022-01-29,Keyboard,7,12355
2022-04-29,Mobile,8,507936
2021-07-26,Laptop,6,470862
2022-06-27,Monitor,4,115072
2020-07-22,Camera,9,940662
2022-01-04,Laptop,7,603120
2021-01-23,Mobile,8,176120
2023-09-19,Headphones,10,13490
2020-04-13,Camera,4,146020
2023-03-02,Headphones,2,29190
2023-02-09,Headphones,10,45380
2021-04-22,Camera,3,294348
2020-01-06,Smartwatch,3,27777
2023-01-11,Smartwatch,3,25806
2023-09-15,Laptop,3,155841
2022-01-03,Headphones,10,63040
2020-02-02,Tablet,5,92170
2020-09-16,Printer,9,60516
2020-05-10,Monitor,8,229808
2022-11-17,Mouse,2,2450
2022-10-28,Headphones,10,17100
2023-09-11,Keyboard,5,21260
2023-08-10,Laptop,1,112781
2022-04-02,Printer,2,38130
2023-12-29,Monitor,2,20588
2021-10-21,Mouse,3,1302
2020-09-15,Smartwatch,10,257440
2023-04-13,Keyboard,6,21720
2023-05-08,Keyboard,5,21080
2022-11-01,Mouse,7,3521
2023-12-08,Mobile,9,343647
2022-05-30,Monitor,4,128476
2021-11-25,Monitor,7,225834
2020-07-13,Camera,7,426741
2023-09-24,Smartwatch,6,60006
2023-11-07,Monitor,2,21956
2020-06-23,Mobile,7,158592
2022-02-02,Tablet,9,170370
2023-04-16,Keyboard,9,28800
2023-10-04,Mobile,7,394422
2023-09-24,Printer,1,12425
2023-05-14,Smartwatch,6,50364
2023-03-29,Keyboard,4,7068
2023-09-06,Monitor,4,48368
2021-12-18,Keyboard,6,8646
2021-07-24,Mouse,4,7812
2022-05-28,Keyboard,10,7150
2023-06-01,Smartwatch,1,10911
2021-07-13,Smartwatch,6,99012
2020-01-13,Tablet,3,123795
2020-05-22,Tablet,1,21013
2022-12-22,Headphones,7,55146
2022-07-18,Camera,3,205509
2021-09-30,Camera,10,981480
2020-06-22,Laptop,3,211896
2023-06-19,Laptop,2,171330
2022-06-26,Printer,8,183136
2022-06-24,Printer,5,50315
2022-11-15,Mobile,6,398094
2020-08-15,Smartwatch,10,209450
2022-12-15,Smartwatch,1,12225
2022-03-20,Mouse,1,315
2021-02-22,Smartwatch,4,37984
2021-06-07,Smartwatch,6,53586
2020-01-16,Monitor,7,115598
2020-09-21,Printer,9,94860
2022-10-21,Keyboard,6,6540
2022-03-24,Laptop,7,367192
2022-07-30,Mobile,6,397602
2023-03-20,Printer,7,87402
2020-08-23,Printer,1,13642
2020-12-17,Mouse,8,13696
2022-01-11,Mobile,7,167125
2021-05-13,Printer,10,161210
2022-12-09,Mobile,7,354676
2021-11-26,Headphones,6,82590
2020-12-10,Mobile,9,224505
2022-12-22,Keyboard,4,13448
2021-12-20,Tablet,4,86948
2020-10-26,Smartwatch,4,42740
2023-05-18,Tablet,2,53218
2023-07-10,Monitor,8,275352
2023-10-26,Mouse,10,9610
2023-07-08,Camera,3,232920
2020-05-19,Monitor,8,198760
2021-07-16,Mouse,1,1020
2022-11-05,Mobile,5,352605
2022-07-14,Laptop,1,98331
2021-08-10,Mobile,2,152924
2022-02-26,Monitor,10,76880
2022-07-10,Mouse,4,3832
2023-05-24,Monitor,9,133974
2020-05-06,Monitor,2,55014
2020-06-21,Keyboard,3,2460
2021-05-22,Monitor,8,314760
2022-12-06,Mouse,3,3135
2022-02-02,Smartwatch,7,128758
2021-11-23,Mouse,1,1916
2023-07-16,Camera,2,126426
2020-07-12,Keyboard,7,19789
2021-05-31,Mouse,3,2946
2020-06-15,Mouse,3,3048
2021-09-27,Printer,3,67494
2023-12-22,Mobile,5,296860
2023-08-10,Camera,3,323499
2023-12-10,Keyboard,2,7936
2022-11-07,Camera,1,67526
2021-09-24,Tablet,4,149580
2022-09-22,Headphones,4,13012
2020-11-13,Mobile,5,116280
2022-11-05,Keyboard,9,7281
2023-09-17,Camera,10,371760
2023-05-08,Printer,3,24948
2021-01-05,Mouse,3,5328
2022-06-15,Laptop,7,684243
2023-10-17,Headphones,8,88024
2021-08-06,Monitor,4,159984
2021-05-04,Smartwatch,8,90856
2022-01-23,Mouse,8,9960
2021-07-31,Printer,9,182547
2022-05-07,Tablet,4,96280
2021-05-27,Laptop,8,789240
2023-02-09,Mobile,9,237069
2021-08-06,Mobile,3,137265
2022-07-09,Keyboard,3,12249
2020-07-06,Headphones,8,53816
2020-02-24,Printer,1,15991
2022-10-25,Camera,4,282460
2020-06-16,Camera,4,94776
2021-10-14,Mobile,6,174852
2020-10-08,Laptop,5,559625
2023-11-26,Tablet,8,355192
2023-06-14,Laptop,2,104980
2021-06-08,Headphones,3,29973
2023-05-31,Keyboard,7,9870
2021-08-13,Headphones,5,14980
2020-04-07,Headphones,7,80276
2023-06-29,Monitor,2,24530
2022-10-20,Mouse,9,2997
2023-07-18,Keyboard,10,24810
2020-10-21,Smartwatch,7,35357
2023-06-13,Camera,4,379192
2022-05-03,Tablet,2,98614
2022-01-08,Mobile,9,688464
2022-11-05,Keyboard,1,3698
2022-08-20,Laptop,7,692503
2021-06-03,Laptop,6,353130
2021-12-07,Headphones,2,27280
2023-04-06,Camera,3,77433
2021-12-22,Keyboard,6,11604
2023-11-03,Monitor,8,135560
2020-10-03,Mobile,8,118776
2021-08-23,Headphones,1,13961
2021-02-12,Laptop,6,543852
2022-11-21,Printer,9,166608
2021-06-02,Laptop,4,350004
2022-01-01,Laptop,6,514866
2020-09-11,Camera,7,507017
2022-06-19,Printer,6,54726
2022-10-13,Monitor,6,234186
2021-06-30,Mobile,7,142415
2022-05-31,Mouse,3,4251
2021-08-24,Camera,2,60988
2021-11-02,Smartwatch,5,98055
2023-05-19,Printer,3,52635
2021-12-20,Monitor,1,28105
2023-06-13,Printer,5,119770
2020-04-27,Mobile,7,403333
2022-11-16,Tablet,1,24357
2023-05-29,Monitor,1,13272
2020-05-17,Headphones,6,41598
2022-02-23,Mouse,1,1539
2020-11-10,Monitor,6,176280
2022-06-28,Mobile,10,280470
2022-12-20,Camera,7,428449
2023-08-23,Smartwatch,4,34868
2020-02-23,Tablet,8,391440
2022-03-03,Keyboard,2,5288
2021-06-17,Monitor,4,94860
2023-11-22,Monitor,4,52148
2020-10-04,Mobile,8,261040
2023-12-31,Monitor,2,51888
2023-09-29,Camera,2,184178
2023-01-15,Smartwatch,5,50805
2023-12-28,Tablet,6,290046
2021-04-04,Mobile,4,112808
2021-04-29,Monitor,1,28651
2023-02-08,Mouse,6,7542
2023-02-03,Tablet,10,206500
2020-05-14,Smartwatch,7,199444
2022-09-07,Keyboard,7,26978
2023-03-23,Mobile,3,154659
2023-08-08,Mobile,8,568456
2023-10-24,Keyboard,6,9306
2023-02-03,Mouse,3,5616
2020-09-21,Printer,9,43335
2020-09-11,Keyboard,3,8973
2020-12-03,Tablet,6,178656
2021-12-09,Keyboard,5,5730
2021-05-28,Headphones,9,49464
2020-09-13,Smartwatch,10,224810
2020-07-10,Keyboard,3,5289
2020-12-16,Mouse,10,9910
2023-02-28,Laptop,1,60646
2020-04-03,Mouse,5,8165
2021-03-07,Mouse,7,10955
2023-08-01,Laptop,8,1057624
2023-01-22,Smartwatch,5,104125
2021-05-16,Printer,5,89305
2020-05-29,Laptop,3,322857
2022-05-01,Monitor,8,146960
2021-11-27,Mouse,3,2820
2021-10-15,Camera,7,259973
2022-01-28,Keyboard,9,12321
2021-10-15,Headphones,8,24056
2021-07-01,Monitor,4,56928
2020-07-17,Laptop,5,501755
2023-06-14,Printer,4,32932
2021-11-01,Mouse,6,4128
2020-11-22,Monitor,9,320337
2022-10-18,Smartwatch,8,46072
2020-07-03,Printer,9,161838
2021-05-08,Headphones,10,67810
2020-04-09,Laptop,5,574330
2023-05-08,Monitor,5,27675
2020-08-08,Printer,3,34998
2022-01-19,Printer,6,26892
2022-03-31,Laptop,10,1236380
2021-02-02,Camera,9,520443
2020-05-30,Printer,9,159813
2023-01-31,Smartwatch,10,272950
2023-06-05,Mobile,3,68016
2022-03-17,Camera,6,558696
2022-01-18,Tablet,4,193460
2022-04-02,Keyboard,1,871
2020-03-20,Tablet,6,276282
2022-11-29,Monitor,3,116352
2020-10-13,Camera,10,617500
2020-11-28,Printer,10,128050
2023-04-30,Camera,9,781281
2022-12-26,Monitor,10,246470
2022-08-30,Laptop,6,560496
2023-10-11,Mobile,7,352289
2023-11-10,Laptop,10,1122050
2021-06-27,Mouse,10,7660
2020-04-15,Mouse,8,5192
2022-12-09,Mouse,7,4214
2023-10-26,Headphones,1,10380
2023-12-05,Mobile,4,49928
2022-06-22,Camera,7,278936
2022-04-25,Headphones,7,64547
2023-06-06,Monitor,1,14049
2022-11-28,Headphones,9,56925
2023-09-18,Monitor,9,267255
2021-10-04,Tablet,8,399512
2021-12-02,Keyboard,6,15990
2023-06-03,Monitor,4,84620
2021-07-25,Keyboard,5,11710
2021-09-01,Smartwatch,4,110468
2023-12-14,Monitor,6,218664
2021-12-15,Keyboard,5,14285
2020-09-06,Mouse,9,9693
2022-03-19,Camera,3,174210
2020-03-27,Smartwatch,2,32698
2022-06-24,Smartwatch,8,96088
2021-02-17,Keyboard,5,13625
2020-10-08,Mobile,10,413630
2021-05-11,Laptop,9,716211
2023-07-30,Headphones,1,2641
2022-04-26,Camera,8,265424
2023-10-27,Tablet,1,25350
2022-04-13,Monitor,8,144568
2021-08-11,Camera,5,523295
2020-05-01,Mobile,10,404370
2022-12-31,Laptop,3,314319
2020-12-26,Laptop,7,804510
2021-01-16,Smartwatch,1,5303
2021-09-03,Mouse,10,5190
2021-11-17,Smartwatch,8,208112
2023-01-17,Keyboard,8,12792
2022-10-29,Monitor,5,88180
2020-08-18,Camera,3,347487
2022-07-28,Smartwatch,3,16383
2021-11-21,Smartwatch,10,270980
2021-01-30,Tablet,10,415740
2022-05-25,Keyboard,6,7260
2022-03-31,Mobile,3,85290
2022-09-04,Camera,4,83580
2021-06-18,Printer,4,70552
2021-06-30,Camera,5,481720
2023-03-19,Laptop,5,678395
2022-01-06,Headphones,1,11941
2020-08-30,Monitor,5,77335
2022-04-10,Keyboard,5,7305
2023-08-01,Smartwatch,6,150840
2021-03-28,Headphones,3,26502
2020-11-09,Monitor,10,294850
2022-05-01,Keyboard,8,39224
2023-09-22,Headphones,4,48584
2023-05-05,Mobile,9,617004
2022-12-17,Camera,2,187892
2020-08-17,Laptop,9,1046295
2021-02-18,Mouse,9,5454
2020-12-02,Camera,9,701208
2020-08-26,Headphones,10,90080
2020-07-05,Keyboard,8,7640
2022-07-17,Tablet,9,380025
2022-07-24,Mouse,1,1444
2022-08-04,Smartwatch,1,17974
2021-06-05,Laptop,4,503200
2020-05-29,Laptop,7,666106
2023-12-05,Mobile,9,161073
2020-05-21,Monitor,1,23814
2022-04-17,Tablet,3,127644
2022-02-05,Printer,8,122952
2022-02-08,Mobile,9,246879
2023-08-31,Camera,2,86784
2023-01-05,Printer,9,64548
2021-04-01,Laptop,1,89107
2022-08-06,Keyboard,7,33999
2022-02-15,Headphones,4,34184
2021-12-09,Tablet,5,136760
2020-08-19,Laptop,7,914193
2020-02-02,Headphones,4,8408
2020-07-25,Mouse,1,1214
2023-05-09,Laptop,4,588256
2020-03-31,Printer,8,85424
2023-01-10,Headphones,1,3295
2022-10-28,Smartwatch,4,115880
2023-03-25,Camera,10,983700
2023-10-09,Camera,4,238208
2020-10-20,Keyboard,4,15548
2021-09-07,Smartwatch,1,23242
2023-04-26,Tablet,7,332367
2020-04-06,Camera,7,621194
2021-10-14,Printer,7,55223
2021-09-06,Printer,3,61878
2022-08-27,Headphones,4,23708
2023-12-20,Tablet,8,150208
2023-02-25,Printer,7,148827
2022-12-21,Tablet,7,216405
2021-06-06,Headphones,6,69570
2020-06-10,Monitor,6,66354
2023-01-01,Headphones,1,5398
2022-02-11,Mouse,10,3800
2020-05-29,Headphones,10,128670
2023-10-07,Keyboard,4,17708
2021-03-03,Camera,5,110045
2021-03-09,Headphones,2,26472
2022-09-07,Headphones,10,125300
2021-02-22,Printer,4,84360
2021-10-20,Smartwatch,7,141946
2022-12-28,Camera,5,271415
2022-01-06,Keyboard,8,34536
2020-07-20,Monitor,6,109872
2022-01-29,Camera,7,181944
2023-02-26,Headphones,3,3795
2021-06-18,Keyboard,10,39200
2021-08-27,Tablet,4,146472
2021-04-16,Printer,10,110520
2022-10-19,Keyboard,6,15648
2022-09-27,Monitor,8,128200
2021-12-22,Tablet,3,141006
2021-01-11,Keyboard,1,4792
2020-03-10,Mobile,1,10836
2022-04-24,Tablet,4,77816
2023-12-19,Tablet,1,29334
2022-11-01,Monitor,6,53766
2023-06-19,Mouse,8,13200
2022-09-26,Laptop,1,119758
2023-02-03,Printer,1,3548
2022-12-20,Smartwatch,9,129546
2020-02-05,Keyboard,7,13776
2020-08-07,Mobile,9,265644
2021-05-08,Headphones,10,96250
2021-05-31,Camera,5,360110
2020-06-10,Camera,7,561127
2023-03-03,Headphones,4,23656
2023-11-01,Mobile,1,22255
2022-04-10,Printer,7,147770
2022-09-01,Laptop,1,142123
2020-12-16,Mobile,8,534984
2023-08-13,Camera,10,324990
2022-12-17,Laptop,4,310840
2023-11-18,Mouse,8,6840
2020-04-05,Mobile,5,71560
2021-01-02,Camera,1,47152
2023-04-17,Tablet,7,140294
2021-09-04,Tablet,10,307590
2023-03-06,Printer,9,124830
2022-02-25,Tablet,2,95638
2021-12-09,Laptop,2,214580
2021-04-20,Mobile,6,371976
2021-10-30,Laptop,5,545270
2022-10-01,Headphones,6,60360
2022-02-07,Printer,3,66591
2023-09-15,Printer,2,46540
2021-08-27,Headphones,2,4688
2021-07-02,Tablet,7,175770
2022-03-08,Camera,6,203790
2020-07-06,Laptop,5,541460
2022-01-07,Smartwatch,2,18682
2020-06-27,Tablet,7,310905
2023-02-14,Keyboard,9,34578
2020-07-30,Laptop,2,192776
2023-02-09,Mobile,10,525230
2022-02-27,Laptop,5,521190
2022-03-05,Mobile,9,376344
2023-03-17,Keyboard,3,10854
2020-12-13,Tablet,5,173670
2021-07-03,Monitor,3,27438
2020-12-08,Printer,5,83990
2021-09-05,Monitor,2,57332
2021-05-30,Headphones,8,85824
2023-06-16,Headphones,8,22016
2020-10-04,Smartwatch,1,17966
2021-11-11,Mouse,7,13622
2021-11-05,Monitor,6,199320
2023-08-26,Mouse,3,2745
2021-10-18,Mouse,4,5124
2021-10-05,Tablet,7,251405
2021-08-19,Monitor,10,208870
2021-10-29,Printer,5,79375
2022-01-17,Mobile,10,361880
2023-04-27,Keyboard,3,2160
2022-08-03,Headphones,8,112552
2021-08-19,Mobile,7,528108
2020-10-12,Smartwatch,4,53116
2023-09-10,Tablet,7,277942
2020-05-31,Monitor,10,364070
2023-04-07,Printer,9,176400
2023-11-17,Printer,9,37836
2022-01-06,Keyboard,10,11960
2020-08-11,Headphones,6,22350
2023-08-18,Mouse,1,1453
2023-08-14,Printer,6,102630
2020-08-04,Laptop,2,167826
2021-03-30,Keyboard,9,20790
2022-07-01,Camera,7,564858
2023-10-23,Mouse,9,5472
2021-12-07,Laptop,8,509624
2021-08-28,Printer,2,13606
2020-10-17,Camera,5,324830
2022-07-21,Headphones,9,80208
2021-12-14,Monitor,2,67430
2023-11-27,Monitor,6,56412
2021-09-06,Laptop,2,105920
2021-12-03,Mobile,3,125910
2022-11-22,Tablet,9,229446
2021-11-08,Keyboard,7,29995
2021-04-19,Printer,3,27321
2023-08-04,Printer,7,27692
2023-06-11,Headphones,8,85616
2022-05-29,Printer,1,10038
2021-02-25,Smartwatch,2,47836
2020-07-27,Keyboard,3,10488
2021-10-29,Headphones,8,22936
2021-06-21,Monitor,9,229851
2023-05-07,Printer,10,158620
2023-04-17,Mobile,6,336810
2022-07-26,Mouse,3,5898
2023-10-11,Smartwatch,10,243380
2020-06-22,Tablet,6,136344
2021-05-03,Smartwatch,2,21996
2022-02-03,Tablet,9,364122
2022-05-06,Mouse,3,4431
2022-02-24,Printer,3,56841
2023-07-25,Keyboard,3,5598
2022-09-29,Smartwatch,3,33390
2021-10-06,Monitor,10,85130
2022-01-05,Laptop,8,543160
2021-02-03,Printer,9,176058
2023-08-30,Monitor,7,260575
2022-05-01,Monitor,8,127688
2020-06-18,Mouse,1,1929
2021-03-27,Smartwatch,1,14006
2021-04-05,Keyboard,5,9385
2022-07-25,Mouse,8,11400
2022-11-12,Mobile,10,249690
2021-07-02,Keyboard,6,29640
2020-03-26,Monitor,9,173898
2022-05-20,Mobile,4,196084
2020-03-07,Monitor,5,139220
2020-06-27,Monitor,2,41056
2021-03-05,Mouse,6,10530
2023-06-03,Printer,3,69570
2020-10-12,Headphones,4,56784
2020-05-01,Mouse,6,8340
2021-07-29,Mouse,9,5796
2021-10-24,Smartwatch,5,118835
2021-07-01,Keyboard,2,3220
2022-04-22,Laptop,5,679845
2020-09-16,Tablet,4,98336
2023-12-27,Camera,4,479228
2023-10-16,Printer,8,61264
2023-03-28,Smartwatch,7,121051
2022-07-14,Mobile,2,125604
2022-11-21,Smartwatch,6,119394
